date,pred_dir,spx_close,daily_change_pct,real_dir_class,rsi,bb_width,atr,trend_ema9,vix_close,vix_mean
2025-12-04,FLAT,6857.12,-0.14,FLAT,58.83,0.0558,80.98,ABOVE_EMA9,15.78,18.64
2025-12-03,UP,6849.72,0.51,UP,58.31,0.0543,84.18,ABOVE_EMA9,16.08,18.92
2025-12-02,UP,6829.37,-0.02,FLAT,56.93,0.0526,86.66,ABOVE_EMA9,16.59,19.21
2025-12-01,UP,6812.63,0.00,FLAT,55.81,0.0534,89.87,ABOVE_EMA9,17.24,19.47
2025-11-28,UP,6849.09,0.39,UP,58.90,0.0541,93.01,ABOVE_EMA9,16.35,19.69
2025-11-26,UP,6812.61,0.28,UP,56.68,0.0533,97.22,ABOVE_EMA9,17.19,20.03
2025-11-25,UP,6765.88,1.03,UP,53.69,0.0559,99.65,ABOVE_EMA9,18.56,20.31
2025-11-24,UP,6705.12,1.03,UP,49.49,0.0588,98.36,ABOVE_EMA9,20.52,20.49
2025-11-21,DOWN,6602.99,0.72,UP,41.16,0.0603,97.26,BELOW_EMA9,23.43,20.48
2025-11-20,FLAT,6538.76,-2.96,DOWN,34.88,0.0562,94.11,BELOW_EMA9,26.42,20.19
2025-11-19,FLAT,6642.16,0.25,UP,41.50,0.0467,83.17,BELOW_EMA9,23.66,19.57
2025-11-18,DOWN,6617.32,-0.36,DOWN,38.91,0.0442,82.94,BELOW_EMA9,24.69,19.16
2025-11-17,UP,6672.41,-0.61,DOWN,42.81,0.0387,81.77,BELOW_EMA9,22.38,18.60
2025-11-14,DOWN,6734.11,0.93,UP,47.78,0.0361,79.17,BELOW_EMA9,19.83,18.23
2025-11-13,UP,6737.49,-1.30,DOWN,48.06,0.0391,75.46,BELOW_EMA9,20.00,18.07
2025-11-12,UP,6850.92,-0.25,DOWN,58.98,0.0439,71.55,ABOVE_EMA9,17.51,17.87
2025-11-11,UP,6846.61,0.45,UP,58.65,0.0454,73.96,ABOVE_EMA9,17.28,17.91
2025-11-10,UP,6832.43,0.69,UP,57.60,0.0474,75.94,ABOVE_EMA9,17.60,17.97
2025-11-07,UP,6728.80,0.49,UP,48.81,0.0487,73.12,BELOW_EMA9,19.08,18.01
